课程ID,课程名称,授课教师,教学内容评分,教学态度评分,互动性评分,作业合理性评分,考试难度评分,推荐指数,选课人数,学期,综合评分
C079,数据结构,吴教授,6.2,9.9,2.8,9.4,4.5,3.3,134,2024-2025-1,6.3
C080,概率论,陈教授,4.8,5.5,7.6,9.4,3.2,6.5,129,2023-2024-2,6.0
C081,操作系统,王教授,9.2,8.3,4.4,7.2,1.1,6.0,119,2023-2024-1,7.3
C082,线性代数,赵教授,4.4,6.5,4.2,6.7,4.2,2.1,73,2023-2024-1,5.0
C083,数据结构,周教授,9.6,3.9,10.0,6.9,1.8,4.9,105,2023-2024-2,7.8
C084,概率论,周教授,4.4,7.1,8.9,9.8,3.3,6.8,174,2024-2025-1,6.8
C085,线性代数,陈教授,7.3,5.1,5.3,8.4,1.8,8.8,108,2023-2024-1,5.9
C086,软件工程,吴教授,4.6,3.2,9.8,3.7,1.9,9.1,102,2024-2025-1,5.9
C087,计算机网络,吴教授,6.8,7.4,7.2,8.4,2.8,5.9,169,2023-2024-2,7.1
C088,线性代数,周教授,7.8,9.0,7.9,4.2,10.0,7.8,125,2024-2025-1,8.2
C089,计算机网络,王教授,4.3,5.4,2.3,6.1,1.0,4.5,118,2023-2024-1,4.0
C090,数据结构,陈教授,6.6,5.7,3.0,4.5,6.7,4.7,132,2024-2025-1,5.1
C091,概率论,李教授,6.3,9.2,7.1,7.8,2.3,3.6,175,2024-2025-1,7.5
C092,操作系统,刘教授,3.5,8.7,9.2,9.1,9.3,6.5,35,2023-2024-1,7.1
C093,数据结构,王教授,8.7,8.0,7.0,5.0,1.8,4.5,151,2023-2024-1,7.9
C094,计算机网络,刘教授,5.3,4.7,3.1,3.6,9.6,2.7,145,2024-2025-1,4.4
C095,Python程序设计,李教授,7.0,9.4,2.9,5.1,6.5,7.5,91,2024-2025-1,6.4
C096,线性代数,李教授,6.6,4.1,8.8,7.7,1.0,7.7,173,2023-2024-2,6.5
C097,数据结构,刘教授,6.6,7.4,3.1,5.3,9.0,4.9,165,2023-2024-1,5.7
C098,计算机网络,王教授,3.8,3.2,6.2,4.9,5.7,2.6,118,2024-2025-1,4.4
C099,软件工程,刘教授,6.0,7.5,2.3,4.3,3.4,5.4,125,2023-2024-1,5.3
C100,线性代数,刘教授,6.2,4.9,2.6,6.5,7.9,5.5,155,2023-2024-2,4.6
C101,软件工程,张教授,8.1,6.1,7.4,4.9,9.3,7.3,119,2024-2025-1,7.2
C102,计算机网络,王教授,8.9,5.4,7.5,8.1,5.4,4.5,115,2024-2025-1,7.3
C103,概率论,吴教授,6.8,4.2,4.7,3.5,3.8,7.5,167,2024-2025-1,5.2
C104,高等数学,吴教授,3.6,7.4,3.7,7.6,8.1,9.0,150,2023-2024-1,4.9
C105,软件工程,张教授,4.7,9.2,8.5,4.7,7.1,3.9,105,2023-2024-2,7.5
C106,数据结构,陈教授,4.2,9.7,3.7,6.4,9.0,9.8,121,2023-2024-1,5.9
C107,操作系统,周教授,3.9,4.3,6.3,5.0,7.2,5.1,99,2024-2025-1,4.8
C108,数据结构,吴教授,5.6,8.0,9.7,8.1,3.2,4.1,177,2023-2024-2,7.8
C109,线性代数,刘教授,4.6,7.7,3.2,9.6,9.4,5.4,162,2024-2025-1,5.2
C110,概率论,陈教授,4.5,5.4,9.5,9.4,1.9,2.8,52,2024-2025-1,6.5
C111,计算机网络,吴教授,3.4,3.1,3.5,7.1,3.4,3.0,166,2023-2024-1,3.3
C112,Python程序设计,王教授,3.1,7.8,6.5,6.2,5.7,5.3,87,2024-2025-1,5.8
C113,操作系统,刘教授,3.7,9.6,5.0,8.7,6.1,8.1,75,2023-2024-2,6.1
C114,概率论,周教授,4.2,7.4,9.7,7.8,1.1,9.2,51,2024-2025-1,7.1
C115,软件工程,陈教授,6.0,6.0,4.2,4.3,8.0,7.3,37,2024-2025-1,5.4
C116,软件工程,吴教授,6.6,6.7,5.2,8.7,4.3,2.8,152,2023-2024-1,6.2
C117,数据结构,吴教授,4.0,4.4,9.9,6.0,4.7,7.4,49,2023-2024-2,6.1
C118,Python程序设计,赵教授,6.0,8.3,6.3,4.3,8.3,7.1,107,2023-2024-1,6.9
C119,概率论,吴教授,5.4,8.2,6.0,5.0,4.4,8.4,68,2024-2025-1,6.5
C120,高等数学,李教授,4.3,4.0,4.1,4.9,1.4,8.6,66,2023-2024-1,4.1
